CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName
"!BIG IMPACT, "" GRAPHICS LIMITED","07382019","","","335 ROSDEN HOUSE","372 OLD STREET","LONDON","","UNITED KINGDOM","EC1V 9AV","Private Limited Company","Active","United Kingdom","","21/09/2010","30","9","21/06/2012","","NO ACCOUNTS FILED","19/10/2012","21/09/2011","0","0","0","0","7260 - Other computer related activities","7481 - Portrait photographic activities, other specialist photography, film processing","7487 - Other business activities","9211 - Motion picture and video production","0","0","http://business.data.gov.uk/id/company/07382019","","","","","","","","","","","","","","","","","","","",""
"!NSPIRED LTD","SC421617","","","12 BON ACCORD SQUARE","","ABERDEEN","","SCOTLAND","AB11 6DJ","Private Limited Company","Active","United Kingdom","","11/04/2012","30","4","11/01/2014","","NO ACCOUNTS FILED","09/05/2013","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/SC421617","","","","","","","","","","","","","","","","","","","",""
