OutcodePLUSOne,Latitude,Longitude
BA16 9,51.1276040909091,-2.76203971428571
BA2 0,51.3307792526316,-2.47432597894737
BA2 2,51.364207624,-2.38022584
BA2 3,51.3778209751244,-2.37512308457712
BA2 4,51.3776056502463,-2.35662729064039
BA2 5,51.3609727609756,-2.35550685853658
BA2 8,51.3193251733334,-2.41433720888889
BA2 9,51.3726641515152,-2.44001985858586
BA21 3,50.9515654175439,-2.65561600350877
BA21 5,50.9537642274678,-2.61492146781116
BA22 7,51.0355427043011,-2.55403065053763
BA3 2,51.2878074851852,-2.4843338962963
BA4 4,51.1805400988142,-2.53207654545454
BA4 6,51.1400468849557,-2.50966919026549
BA5 2,51.2099694586466,-2.65224906015038
BA5 3,51.2189963333333,-2.62285900966184
BA6 8,51.1311605410448,-2.68499721268657
BA6 9,51.1530391124497,-2.72979910843373
BA7 7,51.0891975911602,-2.51905140883978
BA8 0,50.9976060637255,-2.41173903921569
BB1 1,53.7448023041237,-2.46647822680412
BB1 2,53.7353521452514,-2.44562872067039
BB1 4,53.7681933605442,-2.42018602040816
BB1 8,53.7608535555556,-2.48680452941176
BB1 9,53.7795960842106,-2.47915657368421
BB10 1,53.8035013133641,-2.2365986359447
BB10 4,53.7817609906542,-2.21570356074766
BB11 1,53.7895443114754,-2.2453423852459
BB11 2,53.7828059679487,-2.24480007051282
BB11 3,53.7817830641025,-2.23454953846154
BB11 4,53.783841860606,-2.25803873333333
BB11 5,53.777858606635,-2.27735023222749
BB11 9,53.7893312580645,-2.24270835483871
BB12 0,53.7967234512195,-2.25746820731707
BB12 6,53.7923190638298,-2.28186577127659
BB12 7,53.7996946974359,-2.32968717948718
BB12 8,53.8002645973451,-2.3049250221239
BB12 9,53.8337997354839,-2.27321128387097
BB18 6,53.9145611944444,-2.15718953472222
BB2 3,53.7340290502512,-2.47744437688442
BB2 4,53.7290157030075,-2.49907926691729
BB2 6,53.7502018314607,-2.50640513483146
BB2 7,53.7680152117647,-2.52448598235294
BB2 9,53.7451065679013,-2.48456087654321
BB3 0,53.7098227105263,-2.48070659649123
BB3 2,53.686798968,-2.461553512
BB3 3,53.6971521306533,-2.44924267336683
BB4 0,53.7018932857143,-2.28446710204082
BB4 4,53.6917139631579,-2.33048246315789
BB4 5,53.7074264507772,-2.32501259585492
BB4 6,53.6961394676617,-2.30458601492537
BB4 9,53.7063315714286,-2.24801803686636
BB5 0,53.7481994793814,-2.37894166494845
BB5 3,53.7406909859155,-2.39445670422535
BB5 4,53.7538982760417,-2.39201060416667
BB5 5,53.7741910034483,-2.3774938
BB5 9,53.7523704130434,-2.3648442173913
BB6 8,53.8098444148936,-2.45383772340425
BB7 1,53.8684151977401,-2.38811458757062
BB7 2,53.8726139581152,-2.39693670680628
BB7 9,53.830058640845,-2.40476745774648
BB8 0,53.8575281714286,-2.16474769714286
BB9 0,53.829538358871,-2.20969082258064
BB9 4,53.83532868,-2.21700844
BB9 5,53.8238064086538,-2.23230377403846
BB9 6,53.8550623163265,-2.22333983163265
BB9 8,53.8444242600897,-2.20645761883408
BB94 0,53.915257,-2.138036
BD1 3,53.7977443670886,-1.75748274683544
BD1 5,53.7971948105264,-1.75022804210526
BD10 9,53.8331502486188,-1.72491651381215
BD11 1,53.7533960227273,-1.66104624242424
BD12 0,53.7547425510204,-1.76326142857143
BD12 7,53.7483573333333,-1.74161016091954
BD12 9,53.7387265666667,-1.76384136666667
BD13 1,53.771778875,-1.84182739204546
BD13 5,53.8248467522936,-1.89690709174312
BD15 0,53.8212764326241,-1.86195494326241
BD15 8,53.8031972142857,-1.83699771428571
BD16 1,53.836552129771,-1.84209109541985
BD16 3,53.8590265909091,-1.81980235795455
BD16 4,53.8520213524229,-1.83035520264317
BD17 5,53.8473101390134,-1.77983171748879
BD17 6,53.8502048,-1.76156508372093
BD18 1,53.8310841470588,-1.75673332941176
BD18 3,53.8315958333333,-1.78228509139785
BD18 4,53.8339094120603,-1.79800182914573
BD19 3,53.726648393365,-1.71787303317536
BD19 4,53.7311832289157,-1.69489251004016
BD2 3,53.8115660981308,-1.72384711682243
BD2 4,53.8116152795699,-1.7379058172043
BD20 5,53.8770493253968,-1.87253642460318
BD20 6,53.8854480571429,-1.93332466530612
BD20 9,53.9219759175824,-1.96587169230769
BD21 1,53.8600803936171,-1.91646331914893
BD21 4,53.8668365338645,-1.89305290438247
BD21 5,53.8543497225807,-1.91146503870968
BD22 0,53.8635029819004,-2.002608239819
BD22 6,53.8638569945055,-1.92980906043956
BD22 7,53.8481080862069,-1.94120930603448
BD22 9,53.8216289166666,-1.94465969117647
BD23 1,53.9622085485232,-2.02101324894515
BD23 2,53.9564383030302,-2.01468771861472
BD23 3,53.962913970339,-2.09602174576271
BD23 4,54.0126241084906,-2.22104463207547
BD23 5,54.0936421010101,-2.02811041919192
BD23 6,53.9929636746411,-1.9652962631579
BD3 9,53.7944571428571,-1.7344355
BD4 0,53.7735855699481,-1.70215021761658
BD4 6,53.7641543928571,-1.72280080612245
BD4 9,53.7748451454545,-1.71689469090909
BD5 0,53.7854712088608,-1.7598109556962
BD5 7,53.7797699615385,-1.75668679230769
BD5 8,53.772857077381,-1.75179232142857
BD6 1,53.7655142105263,-1.76958793927126
BD7 2,53.7880605729167,-1.78743966145833
BD8 7,53.8059721319445,-1.76555565972222
BD8 8,53.8024292416107,-1.77193112080537
BD9 4,53.8147011329787,-1.77719826595745
BD99 2,53.794058,-1.77296366666667
BH1 1,50.7240042764228,-1.87204115447155
BH1 2,50.721072091954,-1.87268793103448
BH1 4,50.7289527897727,-1.84643055681818
BH1 9,50.727104089041,-1.86622317808219
BH10 4,50.7498327368421,-1.89829370175439
BH10 5,50.7585213888889,-1.89648257407407
BH10 7,50.7689569454545,-1.89075223636364
BH11 0,50.758178,-1.924375
BH12 2,50.7329355410959,-1.93181338356164
BH12 5,50.7448297640449,-1.91194875280899
BH12 9,50.740373,-1.913646
BH13 6,50.717288224,-1.911197672
BH13 7,50.7028960246914,-1.9269275617284
BH14 4,50.725242,-1.949221
BH14 8,50.7160845826772,-1.94686109448819
BH15 3,50.7334477136364,-1.97373332727273
BH15 9,50.7182963404256,-1.97685312765958
BH16 6,50.7454357467532,-2.07183925324675
BH19 9,50.609374,-1.959183
BH2 6,50.724690024,-1.881571288
BH20 5,50.6427606108108,-2.11952771891892
BH20 6,50.6877612251655,-2.22349078807947
BH20 9,50.6894048275862,-2.11085975862069
BH21 2,50.8038560431372,-1.95820175294118
BH21 3,50.7739564664179,-2.01160754477612
BH21 4,50.8099024134616,-2.03150391346154
BH21 6,50.8481475820895,-1.88295611940298
BH21 8,50.8813409130435,-1.92366626086957
BH21 9,50.8047702465753,-1.98432191780822
BH22 2,50.808882,-1.893127
BH22 8,50.7936712520325,-1.88496094308943
BH23 1,50.7349111937173,-1.77824827225131
BH23 2,50.7467466702898,-1.79563761231884
BH23 3,50.7360963608696,-1.75362922173913
BH23 5,50.7446815315316,-1.70130554054054
BH23 8,50.7832350222222,-1.73642392592593
BH23 9,50.7336304,-1.77501908
BH24 1,50.849100372549,-1.78167176143791
BH24 9,50.860084,-1.786735
BH3 7,50.7360970514706,-1.88222994852941
BH31 7,50.8801112676056,-1.87334436619718
BH4 0,50.721911,-1.90239
BH4 9,50.7251171186441,-1.89899873728813
BH5 2,50.72721688,-1.82395381
BH6 4,50.7237337777778,-1.78890217460318
BH6 5,50.7325053636364,-1.8102591291866
BH7 6,50.7338541144278,-1.82586299502487
BH8 8,50.7315555686274,-1.8608610627451
BH9 2,50.7487182489627,-1.88112158506224
BH9 3,50.7567187258883,-1.86502627411167
BL1 2,53.5838542121212,-2.43193362626263
BL1 3,53.5902463582089,-2.44107616044776
BL1 4,53.581593776699,-2.44967694174757
BL1 5,53.5856270422078,-2.47201443831169
BL1 7,53.6071139339623,-2.44159451415094
BL11 1,53.5722986896552,-2.42540417241379
BL2 3,53.6013468955224,-2.397431
BL2 4,53.6035626944445,-2.38989234027778
BL2 6,53.5778462289157,-2.38742030120482
BL3 2,53.5628200654205,-2.4186693411215
BL3 3,53.5601459243028,-2.44780447808765
BL4 7,53.5517521902439,-2.40085995121951
BL4 8,53.5402680679612,-2.37814103398058
BL5 1,53.5471358988764,-2.47097341573034
BL6 4,53.576699632353,-2.50732906862745
BL6 5,53.5929962862453,-2.56879520074349
BL6 9,53.5882265373134,-2.53553053731343
BL7 0,53.6460546686047,-2.3986394127907
BL7 9,53.6208487854785,-2.42857814851485
BL8 2,53.590307496063,-2.32587296456693
BL8 3,53.6082198,-2.34030597142857
BL8 9,53.5922046071428,-2.30838071428571
BL9 0,53.5916195284091,-2.29809449431818
BL9 5,53.6151312674419,-2.30057527906977
BL9 6,53.6075302671756,-2.28336409160305
BL9 8,53.5643179306931,-2.28199381683168
BL9 9,53.5795140763359,-2.29472052290076
BN1 1,50.8231397189543,-0.140111006535948
BN1 2,50.8234597810219,-0.149869627737226
BN1 4,50.8303284188481,-0.138027701570681
BN1 5,50.8474370958083,-0.157241664670659
BN11 1,50.8144087688172,-0.37223609139785
BN11 5,50.8119400441176,-0.397188769607843
BN12 6,50.8205024507772,-0.42758385492228
BN13 1,50.8233844372093,-0.397714920930232
BN14 0,50.8556377102273,-0.399404073863636
BN14 9,50.8321824615385,-0.375964753846154
BN15 0,50.8374621094527,-0.331791343283582
BN15 8,50.8239906510639,-0.319089153191489
BN16 2,50.8069514048583,-0.50706463562753
BN16 9,50.8160570131579,-0.519749921052631
BN17 5,50.8077007813954,-0.54463191627907
BN17 7,50.8199359701493,-0.546770656716418
BN18 8,50.854152,-0.5529
BN18 9,50.8609879452055,-0.548624
BN2 0,50.823615481203,-0.125816879699248
BN2 3,50.8337861463415,-0.126708914634146
BN2 4,50.844008912844,-0.109592821100918
BN2 5,50.8213165079365,-0.106088765873016
BN2 8,50.8055797126437,-0.0370373563218391
BN2 9,50.8281605337079,-0.128361084269663
BN20 7,50.7585268917749,0.27076277056277
BN20 8,50.7766786540085,0.255231185654008
BN20 9,50.8013538830409,0.249266035087719
BN21 2,50.7799721757813,0.27119073046875
BN21 3,50.7695698028169,0.287591549295775
BN21 4,50.7654136769231,0.282655482051282
BN21 9,50.769054744186,0.278709395348837
BN22 8,50.7784129449153,0.293491860169492
BN22 9,50.7999056181819,0.279089993939394
BN23 5,50.7935521008404,0.328478226890756
BN23 6,50.7896942985074,0.313876293532338
BN23 7,50.8003985236051,0.311461454935622
BN23 8,50.808992421875,0.297396578125
BN24 6,50.8143148214286,0.356096314285714
BN24 9,50.812555,0.322574
BN25 2,50.7806732217899,0.0929079727626459
BN25 4,50.7717820382166,0.123544350318471
BN26 6,50.828372388,0.229501364
BN27 2,50.8595148316832,0.264891965346535
BN27 3,50.8660941580757,0.234544518900344
BN27 4,50.8902492,0.294460739130435
BN27 9,50.862671,0.257433
BN3 2,50.8269500337079,-0.170994353932584
BN3 3,50.8315573679654,-0.169692025974026
BN3 4,50.8295544545455,-0.192032136363636
BN3 7,50.8412814307693,-0.187899902564102
BN3 8,50.8492503759399,-0.195405323308271
BN41 1,50.834141602649,-0.213682132450331
BN41 9,50.832066,-0.20752
BN42 4,50.8375109954128,-0.234266137614679
BN43 5,50.8346699512195,-0.27373274912892
BN43 6,50.8381862898551,-0.25716409178744
BN45 7,50.8949803902439,-0.189746463414634
BN7 1,50.8735224785993,0.000670038910505836
BN7 9,50.8773445955056,0.0147987640449438
BN8 6,50.8885863978495,0.12201438172043
BN88 1,50.8269858571429,-0.140355285714286
BN88 3,50.826328,-0.14079
BR1 1,51.4050241732283,0.0157766692913386
BR1 2,51.4017814808917,0.0432757165605096
BR1 9,51.40744975,0.0181038214285714
BR2 6,51.3585963777778,0.0329900222222222
BR2 7,51.3796836590909,0.0122043522727273
BR2 9,51.3947261265823,0.0251740084388186
BR3 1,51.413577324,-0.031371092
BR3 4,51.4040079366667,-0.0446183400000001
BR3 5,51.4102475384615,-0.0176170879120879
BR3 6,51.4002347538461,-0.0161770307692308
BR3 9,51.3972138305085,-0.0474582881355932
BR4 0,51.3802089217877,-0.0106145698324022
BR4 9,51.3707273115578,-0.00659363316582914
BR5 1,51.3864329188034,0.0793218119658119
BR6 6,51.3563431879195,0.0971478590604027
BR6 7,51.3545333636363,0.0907692132867132
BR7 5,51.4118720848214,0.0561282455357143
BR7 6,51.4173711201717,0.0724177038626609
BR8 7,51.4031233322684,0.174207261980831
BR8 8,51.3897251698113,0.174655660377358
BR8 9,51.395891,0.175221
BS1 1,51.454104,-2.59396873134328
BS1 2,51.4564200303031,-2.59325351515152
BS1 4,51.4516780686275,-2.59567516666667
BS1 6,51.449422259434,-2.5922219009434
BS1 9,51.4560628124999,-2.585475375
BS10 7,51.5118702727273,-2.62701049407115
BS11 0,51.4993503656717,-2.66393662313433
BS11 9,51.4944550075471,-2.68630943773585
BS13 7,51.4212860846561,-2.61377541269841
BS13 8,51.4119080404041,-2.62553293434343
BS13 9,51.4087155974026,-2.61146094805195
BS14 9,51.4175835423729,-2.56558708898305
BS16 1,51.493035784375,-2.53609620625
BS16 3,51.4755510328638,-2.53154787793427
BS16 4,51.4761899054054,-2.5126837027027
BS16 9,51.4842928215962,-2.46746648356807
BS2 9,51.4662809608939,-2.57795767039106
BS20 0,51.4783252768362,-2.68879092655367
BS20 7,51.4833981943463,-2.7542916254417
BS21 9,51.44009,-2.857518
BS22 6,51.3596960678732,-2.92240937556561
BS22 7,51.3672222200957,-2.91024097129187
BS22 9,51.3643377760617,-2.9411157065637
BS23 4,51.3293054536585,-2.97545652682927
BS24 7,51.3477502253521,-2.91747314084507
BS24 8,51.3341501884058,-2.91787885507246
BS24 9,51.3233516974358,-2.94908947179487
BS3 1,51.4432409326425,-2.60656858549223
BS3 5,51.4341125229885,-2.59352445977012
BS30 5,51.4560292662722,-2.44297987573964
BS30 6,51.4328060074074,-2.46950860740741
BS30 8,51.448763735,-2.47967499
BS31 1,51.4089736363636,-2.49155597628459
BS31 3,51.4019960169491,-2.46000972033898
BS31 9,51.415585,-2.498925
BS32 8,51.5285056333333,-2.54607263333333
BS34 7,51.5103284293786,-2.57024033898305
BS35 4,51.5754293540372,-2.61710185714286
BS35 5,51.5379715862069,-2.62018972413793
BS35 9,51.60839525,-2.52595426785714
BS36 1,51.522810868932,-2.50227461165049
BS37 4,51.5359290730337,-2.41841451685393
BS37 6,51.536746293617,-2.38884900851064
BS37 8,51.5236401875,-2.42461426785714
BS37 9,51.5534891886792,-2.46198698113208
BS39 4,51.3690185578231,-2.5494638707483
BS39 5,51.3278770932643,-2.55852468911917
BS39 6,51.313628122807,-2.51880162280702
BS4 2,51.4348532110092,-2.57001310091743
BS4 3,51.4413189217877,-2.56062622905028
BS4 5,51.4303156589147,-2.54613904651163
BS4 9,51.4463667142857,-2.5831035
BS40 7,51.3288027735849,-2.71834212264151
BS40 9,51.3880859189189,-2.68968378378378
BS48 1,51.435255385,-2.742467605
BS48 2,51.4310884450262,-2.76160113089005
BS48 3,51.4115879617225,-2.72816515789474
BS48 4,51.424139114094,-2.76793946979866
BS49 5,51.3697677884615,-2.80715082692308
BS5 0,51.4617849957627,-2.56967513135593
BS5 5,51.46353,-2.556696
BS5 7,51.4644607873134,-2.53894142164179
BS5 8,51.4557336731517,-2.53412175097276
BS5 9,51.4578165679013,-2.55859230864197
BS6 6,51.4679352964286,-2.606167275
BS6 9,51.468133,-2.590038
BS7 0,51.4967202427537,-2.57769680434783
BS7 8,51.4792534230769,-2.59234282211538
BS8 1,51.4566862673797,-2.60822643315508
BS8 4,51.4525552242991,-2.61874335981308
BS9 2,51.4904364950981,-2.64396676960784
BS9 3,51.4920608987342,-2.62158000421941
BS98 1,51.4588054285714,-2.57840428571429
BS99 6,51.4260942333334,-2.62582553333333
BS99 7,51.4584279999999,-2.57418
CA1 1,54.8932015454545,-2.92855052272727
CA1 2,54.8889378070866,-2.91384877559055
CA1 9,54.8936858214285,-2.94005910714285
CA10 1,54.6993728991596,-2.63145049159664
CA10 3,54.5181026945607,-2.62845647698745
CA11 0,54.6325314227643,-2.87313732520325
CA13 9,54.6577588523985,-3.34152833579336
CA14 1,54.6561667456445,-3.51436154006968
CA14 2,54.6427388009479,-3.55369594312796
CA14 4,54.6176259363636,-3.51823125909091
CA15 7,54.7074073517588,-3.47188663819096
CA16 6,54.5747074462152,-2.48406103187251
CA18 1,54.3543106,-3.39128092
CA19 1,54.3871500441177,-3.38528360294118
CA2 6,54.8811662598039,-2.96282022058823
CA23 3,54.5143408142857,-3.49427367142857
CA25 5,54.5227452857143,-3.51853768202765
CA27 0,54.490972627451,-3.59337623529412
CA28 0,54.5454894,-3.58936656
CA28 6,54.5568700438247,-3.57468752988048
CA28 7,54.547129613402,-3.58561446907216
CA3 8,54.8946649180328,-2.93656631967213
CA4 8,54.889632521978,-2.84193346153846
CA5 7,54.820673496732,-2.982409
CA6 4,54.9424012445652,-2.90965583152174
CA6 5,55.0287754662577,-2.94005960122699
CA6 6,55.0225177605634,-2.81725047183099
