Region,Latitude,Longitude
AB,57.2905811743213,-2.32142238536112
AL,51.7765044558335,-0.286190104671943
B1,52.4601695277586,-1.90215455327587
B2,52.4797619555183,-1.86885983204134
B3,52.4549199419023,-1.87547011208226
B6,52.4473925707493,-2.02392983799049
BA,51.2215549141501,-2.42036428340685
BB,53.7845531379941,-2.33463046863074
BL,53.587292610563,-2.40825675309115
BN,50.8291525523361,-0.111382412335601
CH,53.2931021885184,-3.02470087837693
CO,51.900517063856,0.932703032122581
CR,51.3561727404535,-0.098496589833479
CT,51.2563590398721,1.23147885398381
CW,53.1549952142458,-2.45714800538419
DA,51.4409962254594,0.222197043478261
DD,56.5426930910729,-2.85530442114151
DH,54.8258575870473,-1.61866733036218
DL,54.5332120069202,-1.66881713376426
DN,53.541241253244,-0.724355946281571
DY,52.4533271298239,-2.18065893102818
E5,51.559091906542,-0.0536633925233645
E7,51.5458933151409,0.0234708080985916
EC,51.5200503436811,-0.0980711587583144
G1,55.8836496559927,-4.32274825770052
G2,55.8808406011651,-4.25529680155338
G3,55.8617391621128,-4.18609979417122
G4,55.8267132900311,-4.26888160932667
G6,55.933984849322,-4.18105219525421
G8,55.9682140677548,-4.5748304394826
G9,55.86888452,-4.2412438
GL,51.8323414255359,-2.1812207253727
HA,51.5869961735795,-0.339196477556818
HD,53.6340577070947,-1.78175611371285
HG,54.041635039686,-1.55217990156952
HP,51.7229379446658,-0.687762234663573
HR,52.068209335382,-2.72379419448385
HX,53.7196574793476,-1.8954701265733
IP,52.2008601597046,1.08360598173693
KA,55.5632947182607,-4.60391901147826
KT,51.3579438098975,-0.343505087824351
L1,53.4082398631991,-2.91628036506377
L2,53.4287247330565,-2.94373777853083
L3,53.4780154122212,-2.90683759616906
L6,53.41454480291,-2.96019244444448
L7,53.4145118056015,-2.95870126688634
LA,54.1726473659426,-2.90690947912778
LL,53.128390201829,-3.72874165449033
LN,53.2560503504113,-0.348313545676818
M3,53.459574517753,-2.27389911468578
M4,53.4914525835322,-2.29372836256962
M6,53.4898063182206,-2.27782524208726
M8,53.5087299003832,-2.24030666922095
M9,53.5083529294927,-2.2195388383491
ML,55.7750923726708,-3.94182937172334
N4,51.5708432123115,-0.103342493718593
N5,51.5538097354259,-0.0986391614349776
N7,51.5529821534988,-0.118322961625282
N8,51.5839720505781,-0.117892079479769
N9,51.6284565215419,-0.0580924705215419
NG,53.0089684360256,-1.06573976464618
PE,52.6701883085111,-0.0117000164316515
PH,56.5679792733477,-3.73684310670885
PL,50.432019221444,-4.33647219631614
PO,50.7988631465542,-1.0490923878193
PR,53.7231380965028,-2.7561005524558
RG,51.4035740632165,-1.03501562809916
RM,51.5483478605616,0.217795299181602
S3,53.4359997056133,-1.55799975883576
S4,53.2412767661369,-1.40270623778694
S6,53.4454477866242,-1.35652167460538
S8,53.3237316740197,-1.24436292752101
S9,53.403497307054,-1.4176052873444
SE,51.4658295505477,-0.0323666047221251
SO,50.9384254576272,-1.38843496720588
SR,54.8740337397905,-1.38939964217398
SS,51.5623600718663,0.59836755461338
ST,52.9784277480167,-2.14385701152639
SW,51.4627638865746,-0.168718907793262
TD,55.6131302650494,-2.52653773068284
TR,50.2077209266682,-5.24888836186069
TS,54.5851670024903,-1.22194217069215
TW,51.4465247264749,-0.393486982014075
W1,51.5138678824379,-0.169475615919335
W2,51.5157924854133,-0.180598312803891
W3,51.5103574490786,-0.268429634335597
W4,51.4912436504588,-0.263853757798165
W6,51.4926797367149,-0.229107501207729
W8,51.5009436529802,-0.194570121854305
W9,51.5266878060202,-0.192533943143813
WC,51.5183565778435,-0.12237783743035
WD,51.6612940011824,-0.390104088018918
WR,52.1669001561561,-2.18853467147146
WS,52.647486097939,-1.95469791895425
YO,54.0714197579579,-0.843247571523806
ZE,60.2249777568,-1.1991049264
B4,52.4568914998669,-1.89441466799681
B5,52.3769911265378,-1.88475250966608
B7,52.5731643898506,-1.8181128578192
B8,52.4338863797468,-1.85541700886076
B9,52.3719831584129,-1.83623616502662
BD,53.8320010401834,-1.83642596815097
BH,50.7502131814744,-1.8917615184147
BR,51.3937679440781,0.047189789790651
BS,51.4443704334321,-2.63271456482987
CA,54.7196643054294,-3.10894309249024
CB,52.2078333137329,0.210789185635146
CF,51.5519878546705,-3.32703335596214
CM,51.7541149544429,0.399611701560028
CV,52.3725064596266,-1.50178626801756
DE,52.9318866129882,-1.4993355093458
DG,55.0207583515071,-3.88517585195036
DT,50.7589316369917,-2.4862495573514
E1,51.5411188318906,-0.0101582316096927
E2,51.5295178693693,-0.0626310484234235
E3,51.5284573831877,-0.0258871888646288
E4,51.6224778230616,-0.00485193936381711
E6,51.5265244232752,0.0542604191555096
E8,51.5433176366197,-0.0658213323943662
E9,51.5403521958456,-0.0453122863501484
EH,55.9239122706681,-3.22820920280073
EN,51.6833461076461,-0.0841627485562483
EX,50.8320578382336,-3.67829758002684
FK,56.0775225940661,-3.86028682276488
FY,53.8272298140146,-3.0208419981997
G5,55.8434536075291,-4.32872848137766
G7,55.7908026477132,-4.20906391021343
GU,51.222134604963,-0.718005980176215
HS,57.9672476888888,-6.70677335978836
HU,53.7702209553081,-0.351027925452018
IG,51.5871981917269,0.0724631052199603
IV,57.598339345952,-4.20010477243726
KW,58.6520283836065,-3.28849521092896
KY,56.1646548687864,-3.19897031629035
L4,53.5040917420334,-2.9137087966616
L5,53.4248671462264,-2.9773064740566
L8,53.3899823879443,-2.96297700463678
L9,53.4616244891304,-2.95335016149068
LD,52.1294226741979,-3.34035851784907
LE,52.6431239328617,-1.1345324406811
