outcode,Latitude,Longitude
AB10,57.135507486331,-2.11944072805755
AB11,57.1391552571002,-2.09300107324365
AB12,57.1024762615385,-2.11217813846154
AB14,57.1014680625,-2.271832625
AB16,57.1599456713376,-2.15670159490445
AB23,57.2121331003237,-2.08850675404531
AB25,57.1526197118644,-2.11417127966102
AB30,56.8466150228758,-2.47832314052288
AB32,57.1550439029412,-2.31765985
AB33,57.2247777992278,-2.74231349420849
AB43,57.6572053601637,-2.04411106684857
AB45,57.6513392504118,-2.56773217133443
AB53,57.5247868191177,-2.39435802794118
AB99,57.111325,-2.094001
AL1,51.7488087650847,-0.322289265486725
AL3,51.7798498757895,-0.375957484210526
AL5,51.8164239418817,-0.352927911439115
AL6,51.8320723106995,-0.199028355967078
AL8,51.8036516773455,-0.211317022883295
AL9,51.7452734805492,-0.198772787185355
B10,52.4698752939394,-1.85230467878788
B12,52.460520083871,-1.88386984086022
B15,52.4663630428265,-1.92445735546038
B16,52.4762562240258,-1.93345653896104
B17,52.4611938721541,-1.96046246409807
B18,52.4914996732892,-1.92517731346578
B21,52.5061313779193,-1.93978332059448
B23,52.528328475331,-1.85485684115523
B25,52.4648228076924,-1.82232704545455
B26,52.4612937731958,-1.79044276975945
B29,52.4374906234981,-1.94875477570094
B32,52.448864396154,-1.99466653205128
B35,52.5185999453925,-1.78918270648464
B36,52.5043628649123,-1.77918994912281
B37,52.4785713126723,-1.74231589807162
B38,52.3999300961539,-1.93478627564103
B4,52.4827921764706,-1.89449699509804
B43,52.5483932504604,-1.93008685819521
B44,52.5457121788492,-1.88516697978227
B49,52.2173539577465,-1.86803741690141
B5,52.4694282664974,-1.89776388832487
B60,52.3252956804373,-2.05215292102065
B62,52.45728216,-2.03435170833333
B64,52.4723908782051,-2.06899150427351
B67,52.4858821117318,-1.97858689571695
B68,52.4784821550522,-2.00136612543554
B7,52.4940870422535,-1.87297842957746
B71,52.5358266886931,-1.99054106314244
B73,52.5553097585647,-1.8409240375204
B75,52.5786524021572,-1.80920405392912
B76,52.5438386011342,-1.78348740831758
B79,52.6507688528,-1.6821335648
B8,52.4910770258176,-1.84149817383821
B9,52.478258436916,-1.8505649228972
B90,52.4006229246901,-1.82582528026693
B92,52.4368715615491,-1.7745742835408
B94,52.3504302911765,-1.79339486764706
B97,52.2996768454545,-1.95389096753247
